hour,avg_departures_per_day
0,162.29906542056074
1,106.89719626168224
2,87.35046728971963
3,57.08411214953271
4,49.50934579439252
5,60.98598130841121
6,151.68691588785046
7,423.3224299065421
8,687.6214953271028
9,492.9065420560748
10,410.78504672897196
11,522.911214953271
12,595.0747663551402
13,632.3224299065421
14,699.5607476635514
15,874.9672897196261
16,1149.196261682243
17,1105.6401869158879
18,967.4485981308411
19,832.4485981308411
20,713.0140186915888
21,533.196261682243
22,341.74766355140184
23,229.91121495327104
